k,EPE,RSS
1,1.633288028406565,31.685032802139915
3,1.3148219243274284,25.542343165072488
5,1.3126841536811718,25.532658527736714
7,1.2795029885279234,24.891682348155975
9,1.326858761740186,25.800661524401043
11,1.3020864723743224,25.306115493169383
13,1.331097628229154,25.871865293362077
15,1.3338265910325586,25.912619811391256
17,1.3669512836780782,26.55825404705026
19,1.3657057057736413,26.53722370700681
21,1.3687265551090573,26.588730966053514
23,1.36353187071339,26.49362284738145
25,1.3588388136906526,26.407392277591633
27,1.3662833271493713,26.56329347322212
29,1.3939835344235858,27.10775988888014
31,1.3964034684176725,27.150975644602767
33,1.4118570183703636,27.455279154949416
35,1.414742651011807,27.514039239135684
37,1.4334999177940553,27.88199799635131
39,1.4441358760523884,28.087980503640335
41,1.4562795707047944,28.321154052115627
43,1.4685937518138286,28.55642779253044
45,1.4829647243090591,28.83803622686251
47,1.5117993835843655,29.40318496466377
49,1.5377148697795462,29.914166509849338
51,1.5684600280175818,30.519102830937904
53,1.5867686756087935,30.876793352742084
55,1.6062260335567415,31.258983119713765
57,1.6408925702119568,31.935841110228978
59,1.664349679033569,32.397116010212265
61,1.6989236298582946,33.07697660258556
63,1.7240926276902406,33.57432278361204
65,1.745653199770743,34.00377429550302
67,1.766489488735188,34.42023556736625
69,1.797066504153971,35.025056880505325
71,1.8441707742632016,35.958691676780106
73,1.8998109530107559,37.05202526922905
75,1.9271038562620284,37.589529505072235
